Paragraph ID	Paragraph Text	Classified Anchors
74fba43c-a6ec-4476-8273-56c217356340	Zu Ihren persönlichen Stärken gehören Zuverlässigkeit und Teamfähigkeit.	Zuverlässigkeit
		Stärken
		Teamfähigkeit
		
ec0a077e-5937-4ad8-8e86-cc42ba7985c5	Ideal ist, wenn Sie viel positive Energie haben, gerne Verantwortung übernehmen und gerne Mitarbeiter führen. Gebraucht werden auch gute Englischkenntnisse und Führerschein Klasse B. Außerdem sollten Sie idealerweise ausgelernt haben und mindestens schon einmal in einer Klinik gearbeitet haben und die Abläufe kennen.	Mitarbeiter
		Ideal
		Führerschein
		Abläufe
		Außerdem
		gearbeitet
		B.
		Verantwortung
		Englischkenntnisse
		Klinik
		Energie
		Gebraucht
		
db5c7bb0-e616-4f0d-a8ad-5d221024bf9d	Kenntnisse über PV-Anlagen gewünscht, aber nicht Voraussetzung.	gewünscht
		PV-Anlagen
		Kenntnisse
		Voraussetzung
		
7e550a84-dfef-4d15-a44e-bd7e6f09cdae	Voraussetzungen: Fahrpraxis Lkw Anhängererfahrung ADR Schein Technisches Know-how Lkw Ortskenntnisse	ADR
		Ortskenntnisse
		Fahrpraxis
		Lkw
		Anhängererfahrung
		Know-how
		Schein
		
280bf041-eed2-41e0-9d1b-4c58028220fe	ZWINGEND:  Führerschein Klasse B	Führerschein
		
05dc4f04-6bdd-4369-abc1-0c3833158fff	Behandlung von Kleintieren in der Kleintierklinik. Entsprechende Ausbildung wird vorausgesetzt. Erfahrung im Bereich Kleintiere wird erwartet.	Kleintierklinik
		Behandlung
		Kleintieren
		Ausbildung
		Kleintiere
		Erfahrung
		
53e675b6-780f-4d22-94e0-0b12a7da03ea	Wir setzen den Besitz des Führerscheins der Klasse CE zwingend voraus. Sollten Sie Berufseinsteiger sein, so lernen wir Sie gerne an. Zuverlässigkeit ist zwingend erforderlich.	Klasse
		Besitz
		Führerscheins
		Zuverlässigkeit
		Berufseinsteiger
		
96a0a7c9-9340-4f28-a06a-b4d8113cd5aa	Voraussetzungen:  selbständiges Arbeiten und  FS Kl.  B _ 3	Arbeiten
		FS
		
5b2da144-17ff-421c-a6ac-5471582c7146	Voraussetzungen [*] Abgeschlossene pädagogische Grundbildung (staatlich anerkannte_r ErzieherIn. Kinderpflegerin mit mind. einem Jahr Berufserfahrung in einer Einrichtung) [*] Darf ErzieherIn direkt nach der Ausbildung sein [*] Teamplayer [*] Eigeninitiative [*] Offene, kommunikative Wesensart [*] Bereitschaft, sich in die Pädagogik vom ___ einzuarbeiten [*] Bereitschaft, sich in das Ausbildungssystem der ___ (___) einzuarbeiten [*] Erfahrung im Kleinkindbereich	Bereitschaft
		Wesensart
		ErzieherIn
		staatlich
		direkt
		Grundbildung
		pädagogische
		Ausbildung
		Eigeninitiative
		sich
		sich
		ErzieherIn
		Erfahrung
		Voraussetzungen
		Teamplayer
		Bereitschaft
		Einrichtung
		Berufserfahrung
		Ausbildungssystem
		Kinderpflegerin
		Darf
		Pädagogik
		Offene
		
146656cd-4fe3-4c3a-b417-22a5b99c4e5c	Voraussetzungen: [*] abgeschlossene Ausbildung zur Rettungssanitäterin _ zum Rettungssanitäter oder vergleichbarer Kenntnisstand [*] Führerschein Klasse B [*] hohe soziale Kompetenz und Teamfähigkeit [*] Kunden- und Dienstleistungsorientierung [*] Erfahrung im Umgang mit älteren und hilfsbedürftigen Menschen [*] Freude am eigenständigen und eigenverantwortlichen Arbeiten [*] technisches Verständnis [*] Bereitschaft zur Schicht und Wochenendarbeit [*] für Mitarbeit und Verständigung im Bereich Notruf _ Rufbereitschaft sind gute Deutschkenntnisse in Wort und Schrift erforderlich	Kunden-
		Deutschkenntnisse
		Umgang
		Wochenendarbeit
		Mitarbeit
		Arbeiten
		Kenntnisstand
		Verständnis
		Rettungssanitäterin
		Führerschein
		Freude
		Rettungssanitäter
		Bereitschaft
		Kompetenz
		Ausbildung
		Menschen
		Dienstleistungsorientierung
		Verständigung
		Rufbereitschaft
		Teamfähigkeit
		Schicht
		Erfahrung
		
446bae9e-8155-49ec-b11e-62948ad697ce	Ihr Profil: [*] Abgeschlossene Ausbildung [*] Gute allgemeine EDV-Kenntnisse [*] Eine schnelle Auffassungsgabe, Teamfähigkeit, Freude am Umgang mit Menschen, Freundlichkeit und Flexibilität runden Ihr Profil ab	Ausbildung
		EDV-Kenntnisse
		Flexibilität
		Auffassungsgabe
		Teamfähigkeit
		Freundlichkeit
		Umgang
		Menschen
		Freude
		
c757906b-6ea8-4aa7-8fd8-993310dec637	In unserem modernen und schnell expandierenden Unternehmen bieten wir Ihnen die Chance unserer als Fachberater (m_w) Kraftfahrzeuge und -teile in Vollzeit unbefristet einzusteigen. Sie arbeiten in einem engagierten Team mit und erhalten die Möglichkeit, durch individuelle Weiterbildungs- und Aufstiegsmöglichkeiten anspruchsvolle Aufgaben in einem stark wachsenden Großunternehmen zu übernehmen. Ihre Aufgaben: [*] Durchführung von Kundenberatung und Verkaufsgesprächen bzgl. Reifen, Autozubehör, Verschleißteilen und Dienstleistungen jeglicher Art für alle gängigen Fahrzeugtypen [*] Auftragsannahme [*] Einhaltung der Lagerordnung und Sauberkeit im Verkaufsraum [*] Mitwirken bei der Wareneingangskontrolle, Warenpflege und Warenplatzierung Ihre Kenntnisse und Fähigkeiten: [*] erfolgreich abgeschlossene Berufsausbildung als Verkäufer_-in oder Kaufmann_-frau im Einzelhandel, idealerweise in der Kfz Branche [*] gute Fachkenntnisse und ausgeprägtes Kommunikationsvermögen [*] Eigeninitiative und Flexibilität [*] Kfz-Mechaniker oder Erfahrung VerKauf Kfz-Teile [*] gute EDV- Kenntnisse (MS-Office) [*] Führerschein Klasse B zwingend vorausgesetzt	Fahrzeugtypen
		Fachkenntnisse
		Wareneingangskontrolle
		Möglichkeit
		Berufsausbildung
		Eigeninitiative
		Unternehmen
		Reifen
		Einhaltung
		Weiterbildungs-
		Führerschein
		Erfahrung
		Verkaufsgesprächen
		Flexibilität
		Kfz-Teile
		Auftragsannahme
		Branche
		Kommunikationsvermögen
		Kundenberatung
		Sauberkeit
		Aufgaben
		Lagerordnung
		Kfz-Mechaniker
		Warenpflege
		Kenntnisse
		Dienstleistungen
		Fachberater
		-teile
		Verkaufsraum
		Durchführung
		Kraftfahrzeuge
		Aufstiegsmöglichkeiten
		EDV-
		Chance
		Einzelhandel
		Großunternehmen
		Aufgaben
		Team
		Kaufmann_-frau
		Autozubehör
		Kenntnisse
		Fähigkeiten
		Verschleißteilen
		Mitwirken
		Verkäufer_-in
		Warenplatzierung
		Art
		
78fd0d68-0420-4dc7-8eb0-c98d3ecea79a	Gesucht wird ab sofort ein_e Stuckateur_in mit folgenden Schwerpunkten: [*] Führerschein wünschenswert [*] Berufserfahrung gewünscht, allerdings keine Bedingung	Gesucht
		Bedingung
