Parent ID	Unit ID	Class	Token	Position
370854	8a18d4ad-5312-4899-b00e-78ba2fc712eb	COMPETENCE	Bereitschaft zu Wochenend- und Schichtarbeit	20
			Berufserfahrung	14
			
251639	8a6aa65b-11fb-4f0c-9fa0-f9e2505f40c9	COMPETENCE	einschlägige Berufserfahrung in der Gastronomie	14
			
144481	8ab95017-f9c2-4db0-923a-0178ede7a2b2	COMPETENCE	abgeschlossene Berufsausbildung zur_m Medizinischen Fachangestellten	1
			Röntgenschein	9
			Erfahrung in einer orthopädischen , chirurgischen oder allgemeinärztlichen Praxis	14
			Gute EDV-Kenntnisse	27
			
55087	8c9019ef-2386-4c1b-8acb-00ea0b6b6f39	COMPETENCE	hohes Maß an Freundlichkeit	7
			Flexibilität	4
			Teamfähigkeit	2
			Kundenorientierung	0
			
43102	8e9a857b-b4b9-4e57-af99-f17712bfd367	COMPETENCE	erste praktische Erfahrungen im Bereich Software Testing , Qualitätssicherung , Datenbanken und_oder Programmierung	42
			Fulltime-Verfügbarkeit	35
			schnelle Auffassungsgabe	67
			Ausbildung zum Fachinformatiker erfolgreich abgeschlossen	29
			hohe Reisebereitschaft	38
			Verhandlungssichere Deutsch- und gute Englischkenntnisse	56
			kurz vor ( oder nach ) dem Abschluss Ihres Studiums der Informatik , Elektrotechnik oder eines vergleichbaren Studienganges	6
			hohe Lernbereitschaft	63
			
368867	95239e09-272a-4561-8839-a5bd4e8b53d3	COMPETENCE	sehr gute pädagogische Kenntnisse	52
			Durchsetzungsvermögen	27
			selbstständiges Arbeiten	29
			professionelle Arbeit	42
			Fähigkeit , in einem großen Mitarbeiterteam und mit großer Flexibilität zu arbeiten	14
			Interesse an Fortbildungen	59
			Einfühlungsvermögen	57
			
248356	96a0a7c9-9340-4f28-a06a-b4d8113cd5aa	COMPETENCE	selbständiges Arbeiten	2
			FS Kl . B _ 3	5
			
339900	984c7a10-3af0-4abc-9c7f-fec4b5244065	COMPETENCE	Verhandlungssichere Deutsch- und Englischkenntnisse in Wort und Schrift	21
			Bereitschaft zu Dienstreisen weltweit	16
			Erfolgreich abgeschlossenes Studium der Fachrichtung Elektrotechnik oder Wirtschaftsingenieurwesen mit Schwerpunkt Elektrotechnik	4
			Teamfähigkeit	32
			Belastbarkeit	30
			
208745	9acd41cf-2033-4285-9dc6-491df37b7107	COMPETENCE	Kooperations- und Kommunikationsfähigkeit	16
			kundenorientiertes Arbeiten	13
			Flexibilität und Zuverlässigkeit	20
			Erfahrungen im Kantinenbereich	7
			Ausbildung als Koch_Köchin	3
			Engagement	11
			Führerschein Kl . B ( alt : FS 3 )	24
			
71742	9c18538c-8385-428d-aa93-b7c5f5d764e4	COMPETENCE	Kompetenz , erklärungsbedürftige Sachverhalte einfach und transparent darzustellen	59
			zuverlässig	38
			Führerscheinklasse B ( alt 3 )	71
			ausgeprägten deutschen Sprachschatz	90
			Freude am Kontakt zum Kunden in einem anspruchsvollen B2B Sektor	25
			Höfliches und professionelles Auftreten	20
			hohes Maß an Engagement und Eigenmotivation	42
			gute Kenntnisse in den MS-Office-Programmen	80
			Erfahrung aus der Tätigkeit im Außendienst aus dem Bereich Finanzdienstleistungen_Forderungsmanagement , idealerweise mit rechtlichem Background	4
			gute kommunikative , rhetorische Fähigkeiten	51
			
348368	9cb9ad5b-9bd6-42f1-817e-052662905b31	COMPETENCE	eine positive Einstellung zu dieser Arbeit	7
			viel Verständnis und Einfühlungsvermögen für ältere & pflegebedürftige Menschen	14
			
55087	9d0a0def-ba6e-400b-add5-64bf5c1555ff	COMPETENCE	erste Berufserfahrungen	14
			gut abgeschlossene Ausbildung als Fachverkäufer_in im Lebensmittelhandwerk ( Fleischerei )	3
			
113239	9e6c0127-5a4d-452c-8657-21eeb9f1f182	COMPETENCE	abgeschlossener Berufsausbildung als Restaurant- oder Hotelfachmann_-frau	35
			
361410	9ebfaad5-6820-44be-8adb-6281378849e4	COMPETENCE	entsprechenden Lackierkenntnissen	17
			abgeschlossen Ausbildung	21
			
103879	a0bbbf85-2e44-4f9f-928f-4463674bcfb2	COMPETENCE	abgeschlossene Berufsausbildung zum Kfz-Mechatroniker_in	3
			-FS-Kl . B	13
			
94364	a35fecd9-5ba4-4546-98a9-b021136e7d2a	COMPETENCE	FÜHRUNGSERFAHRUNG	19
			
101118	a3820d46-bf6b-4346-baf6-c657ee20d77f	COMPETENCE	selbstständiges qualitätsbewußtes Arbeiten	19
			abgeschlossene Ausbildung zum_zur Verfahrensmechaniker_in für Kunststoff- und Kautschuktechnik ( Fachrichtung Spritzguss ) oder vergleichbare Qualifikation	3
			Schichtbereitschaft ( 3-Schicht )	23
			
51880	a5b479ff-1442-4521-bd89-6370f3c750d0	COMPETENCE	Offenheit	5
			gepflegtes Erscheinungsbild	34
			Fremdsprachenkenntnisse	43
			Freundlichkeit	3
			Zuverlässigkeit	11
			Spaß am Verkauf	21
			Flexibilität	9
			Verkaufserfahrung	39
			Pünktlichkeit	7
			Kommunikationsfähigkeit_Freude am Umgang mit Menschen	13
			Belastbarkeit	19
			
175673	a6e41e97-7043-418d-afb6-a1f5e08ffee8	COMPETENCE	Aufgeschlossenes und besucherfreundliches Auftreten	0
			
54486	a8d1d650-b02c-4862-9ad5-327e1999244b	COMPETENCE	Organisationsvermögen	42
			Erfahrungen in der Kinderpflege und -betreuung	5
			Fähigkeit zur Realisierung von Verwaltungsvorgängen	44
			Sicherer Umgang mit den Softwareprogrammen Word und Excel	54
			flexible Einsatzfähigkeit bezüglich der Arbeitszeit	36
			Teamfähigkeit	14
			Belastbarkeit	34
			
238433	aa21b8fe-02f1-4d32-a771-919eef96b90d	COMPETENCE	einwandfreies polizeiliches Führungszeugnis	12
			grundlegende Computerkenntnisse	2
			kundenorientiert	8
			flexibel	6
			
9940	aa7acc57-4ba3-430c-8196-e00bdb51f143	COMPETENCE	selbständiges Arbeiten	16
			Umfassende Kenntnisse und Kompetenzen in Diagnostik , Therapie und Beratung logopädischer Diagnostik	3
			ausgeprägte kommunikative Fähigkeiten	22
			fachliche Entscheidungskompetenz	19
			aufgeschlossenes und sicheres Auftreten	26
			Kassenzulassung	50
			Führerschein	48
			Erfahrungen in der Arbeit mit jungen Menschen bzw.in der Arbeit mit hör-und_oder sprachbehinderten Menschen	33
			
175673	ac99802a-df93-49e5-8a88-8edc2f56aa78	COMPETENCE	ausgeprägter Teambereitschaft	14
			Organisationsgeschick	12
			engagierte	7
			Verantwortungsbewusstsein	10
