Parent ID	Unit ID	Class	Token	Position
370854	8a18d4ad-5312-4899-b00e-78ba2fc712eb	COMPETENCE	Bereitschaft	20
			Berufserfahrung	14
				
251639	8a6aa65b-11fb-4f0c-9fa0-f9e2505f40c9	COMPETENCE	Berufserfahrung	15
				
144481	8ab95017-f9c2-4db0-923a-0178ede7a2b2	COMPETENCE	Berufsausbildung	2
			Röntgenschein	9
			Erfahrung	14
			EDV-Kenntnisse	28
				
55087	8c9019ef-2386-4c1b-8acb-00ea0b6b6f39	COMPETENCE	Freundlichkeit	10
			Flexibilität	4
			Teamfähigkeit	2
			Kundenorientierung	0
				
43102	8e9a857b-b4b9-4e57-af99-f17712bfd367	COMPETENCE	Erfahrungen	44
			Fulltime-Verfügbarkeit	35
			Auffassungsgabe	68
			Ausbildung	29
			Reisebereitschaft	39
			Englischkenntnisse	60
			Studiums	15
			Lernbereitschaft	64
				
368867	95239e09-272a-4561-8839-a5bd4e8b53d3	COMPETENCE	Kenntnisse	55
			Durchsetzungsvermögen	27
			Arbeiten	30
			Arbeit	43
			Fähigkeit	14
			Interesse	59
			Einfühlungsvermögen	57
				
248356	96a0a7c9-9340-4f28-a06a-b4d8113cd5aa	COMPETENCE	Arbeiten	3
			FS	5
				
339900	984c7a10-3af0-4abc-9c7f-fec4b5244065	COMPETENCE	Englischkenntnisse	24
			Bereitschaft	17
			Studium	6
			Teamfähigkeit	32
			Belastbarkeit	30
				
208745	9acd41cf-2033-4285-9dc6-491df37b7107	COMPETENCE	Kommunikationsfähigkeit	18
			Arbeiten	14
			Flexibilität	20
			Erfahrungen	7
			Ausbildung	3
			Engagement	11
			Führerschein	24
				
71742	9c18538c-8385-428d-aa93-b7c5f5d764e4	COMPETENCE	Kompetenz	59
			zuverlässig	38
			Führerscheinklasse	71
			Sprachschatz	92
			Freude	25
			Auftreten	23
			Engagement	45
			Kenntnisse	81
			Erfahrung	4
			Fähigkeiten	55
				
348368	9cb9ad5b-9bd6-42f1-817e-052662905b31	COMPETENCE	Einstellung	9
			Verständnis	15
				
55087	9d0a0def-ba6e-400b-add5-64bf5c1555ff	COMPETENCE	Berufserfahrungen	15
			Ausbildung	5
				
113239	9e6c0127-5a4d-452c-8657-21eeb9f1f182	COMPETENCE	Berufsausbildung	36
				
361410	9ebfaad5-6820-44be-8adb-6281378849e4	COMPETENCE	Lackierkenntnissen	18
			Ausbildung	22
				
103879	a0bbbf85-2e44-4f9f-928f-4463674bcfb2	COMPETENCE	Berufsausbildung	4
